Order,Column Name,Description,Values,Use
32,DistrictFAY,"FAY is an Acronym for ""Full Academic Year"". This values denotes the number of years a student is FAY at the District level, if applicable.

For More Information on how FAY is calculated: please reference the State Business rules.","Discrete Numerical values:
0 = not FAY                                                        
1 = 1-year FAY                                                    
2 = 2-year FAY                                                   
3 = 3-year FAY 
",
33,Military,An indicator to denote the students identified with a Parent in Military.,"Binary Values:
0 = Parent Not in Military
1 = Parent in Military","Identifies the Parent In Military subgroup for the SubGroup Improvement Indicator in State Accountability.

**For More Information: please reference the State Business rules."
34,DRP,An indicator to denote whether the student is enrolled in a Dropout Recovery Program (DRP) at the School level.,"Binary Values:
0 = Not DRP
1 = DRP", Used for the annual ADE DRP report
35,ADMIntegrity,An indicator to denote whether the associated student enrollment record has passed integrity checks (has no Accountability or Membership related AzEDs Integrity Errors).,"Binary Values:
0 = Failed Integrity
1 = Passed Integrity","The Values in this column are used to identify the students to be included in the Accountability calculations as having passed Integrity. Students who did not pass Integrity are not to be included in Accountability.
"
36,TuitionPayerCode,"Tuition Payer is used to signify which memberships will generate State funding and which ones will not. 
It is set by ADE's School Finance Department.","Discrete Numerical values:
1, 2, 4, 5, 6, 7, NULL",Students With a tuition payer code of 2 are excluded from all Accountability calculations.
37,EL,Student was considered to have an EL need in the current year at the associated school.,"Binary Values:
0 = No EL Need                                                  
1 = EL Need 
",The values in this column are used to Identify the English Learner students' Population in the Static-File.
38,ELGroup,Provides additional detail on the student's EL need indicated in the EL column.,"Discrete Numerical Values:
0 = No EL Need
1 = ELL Need but not enrolled in ELL services
2 = ELL Need and enrolled in ELL services
3 = SPED withdrawn from ELL services
4 = Parent withdrawn from ELL services
5 = Reclassified in the current fiscal year
","The values in this column are used to populate the values in the ""EL"" Binary indicator column in the Static-File."
39,ELFEP,This is an indicator to denote Current English Language Learners or students Reclassified as Fluent English Proficient (FEP) in the past 4 years ,"Binary Values:
0 = Niether an EL or FEP student
1 = EL student or FEP student","The values in this column are used to identify the English Learners as well as those who Re-classified within the past 4 years as a SubGroup. The Identified SubGroup is used in State and Federal Accountability components as defined by the State and Federal Business Rules.

**For more information on how ELFEP SubGroup is used in Accountability: Please Reference the State and Federal Business Rules."
40,ELAMathWindow,"This is an indicator to denote if a student was enrolled at the associated school during the ELA and Math testing window for the ""AssessmentFamily"" associated.

For More Information on The Assessment window dates: please reference the State Business rules.","Binary Values:
0 = Not Enrolled During ELAMathWindow
1 = Enrolled During ELAMathWindow","Determines which students to include in the Percent Tested indicator under the Proficiency Component in State and Federal Accountability.

**For more information on the Percent Tested calculations: Please Reference the State and Federal Business Rules."
41,Oct1Enroll,This is an indicator to denote if a student was enrolled on October 1st at the associated school of the given Fiscal Year.,"Binary Values:
0 = Not Enrolled on October 1st
1 = Enrolled on October 1st","This value will not be used in FY2023 accountability calculations, but may be used in future years. "
